Fechamento,Abertura,Maxima,Minima,Chikou,Tekan,Kinju,Senkou A,Senkou B,Chikou0,Chikou1,Chikou2,T/K 0,T/K 1,T/K 2,Preco X T/K 0,Preco X T/K 1,Preco X T/K 2,Kumo 0,Kumo 1,Kumo 2,Resultado
26.92,29.5,26.7,29.39,46.7,25.33,22.11,15.34,14.73,0,1,0,0,1,0,0,1,0,0,1,0,0
29.39,30.07,29.21,30,47.24,27.11,23.35,15.54,14.98,0,1,0,0,1,0,0,1,0,0,1,0,0
30,30.14,29.6,30,49.87,27.3,23.6,15.55,14.98,0,1,0,0,1,0,0,1,0,0,1,0,0
29.96,31.49,20.9,30.4,59.46,28.26,24.14,15.66,15.09,0,1,0,0,1,0,0,1,0,0,1,0,0
30.37,30.44,27.67,29.54,65.13,28.26,24.48,15.9,15.29,0,1,0,0,1,0,0,1,0,0,1,0,0
29.55,30.37,29.08,29.78,70.87,28.26,24.53,16.68,15.81,0,1,0,0,1,0,0,1,0,0,1,0,0
29.79,30.49,29.78,30.43,68.81,28.35,24.8,17.04,15.97,0,1,0,0,1,0,0,1,0,0,1,0,0
30.45,32,29.85,31.1,64.73,28.39,24.84,17.25,16.18,0,1,0,0,1,0,0,1,0,0,1,0,0
31.01,31.77,30.45,31.31,70.22,29.92,25.14,17.64,16.57,0,1,0,0,1,0,0,1,0,0,1,0,0
31.31,34.42,31.31,33.53,74.3,30.43,25.8,17.77,16.57,0,1,0,0,1,0,0,1,0,0,1,0,0
33.53,34.75,33.25,34.55,79.81,31.4,26.78,17.79,16.57,0,1,0,0,1,0,0,1,0,0,1,0,0
34.55,34.77,33.6,34.16,89.4,31.57,27.05,17.83,16.57,0,1,0,0,1,0,0,1,0,0,1,0,0
34.92,34.34,33.91,34.33,88.96,31.73,27.41,18.12,16.59,0,1,0,0,1,0,0,1,0,0,1,0,0
34.33,37,34.24,36.52,90.49,32.01,27.98,18.41,16.71,0,1,0,0,1,0,0,1,0,0,1,0,0
36.56,41,36.53,40.75,92.12,33.48,29.47,18.72,17,0,1,0,0,1,0,0,1,0,0,1,0,0
40.66,49.17,40.66,42.32,95.5,35.88,31.9,19.39,17.45,0,1,0,0,1,0,0,1,0,0,1,0,0
42.31,46,33,41.68,103.73,35.99,32.18,19.63,17.67,0,1,0,0,1,0,0,1,0,0,1,0,0
41.68,44.37,40.56,43.76,116,37.1,32.3,20.01,17.97,0,1,0,0,1,0,0,1,0,0,1,0,0
43.77,46,42,46,133.87,38.08,33.5,20.49,18.13,0,1,0,0,1,0,0,1,0,0,1,0,0
45.76,47,45,45.29,134.67,39.58,35,20.86,18.48,0,1,0,0,1,0,0,1,0,0,1,0,0
45.97,48.38,45.6,48.25,141.8,39.97,36.26,21.47,19.05,0,1,0,0,1,0,0,1,0,0,1,0,0
48.15,48.25,36,44.84,141,41.06,36.26,21.6,19.05,0,1,0,0,1,0,0,1,0,0,1,0,0
44.29,47.09,44.2,46.99,164.97,43.18,36.26,22.92,19.91,0,1,0,0,1,0,0,1,0,0,1,0,0
46.99,47.97,46.8,46.95,185.6,44.24,36.86,23.28,19.91,0,1,0,0,1,0,0,1,0,0,1,0,0
46.95,47.29,46.9,46.9,228.94,44.29,36.91,23.47,19.91,0,1,0,0,1,0,0,1,0,0,1,0,0
46.93,47,46.58,46.74,162,45.33,38.15,23.61,19.91,0,1,0,0,1,0,0,1,0,0,1,0,0
46.7,47.24,46.7,47.24,81.02,45.87,38.22,23.72,19.91,0,1,0,0,1,0,0,1,0,0,1,0,0
47.24,51.1,46.98,50.35,109.9,45.91,38.26,25.23,21.15,0,1,0,0,1,0,0,1,0,0,1,0,0
49.87,60,48,59.41,90.44,46.42,38.77,25.45,21.35,0,1,0,0,1,0,0,1,0,0,1,0,0
59.46,67.99,58.86,64.2,91.79,51.85,44.2,26.2,21.35,0,1,0,0,1,0,0,1,0,0,1,0,0
65.13,76.91,64.61,72.23,73.99,55.68,47.2,26.37,21.38,0,1,0,0,1,0,0,1,0,0,1,0,0
70.87,74.47,65,69.9,67.85,55.87,47.72,26.39,21.38,0,1,0,0,1,0,0,1,0,0,1,0,0
68.81,72,50.09,63.9,89.98,55.87,48.05,26.58,21.47,0,1,0,0,1,0,0,1,0,0,1,0,0
64.73,71,63.36,70.22,109.3,55.87,48.16,26.61,21.5,0,1,0,0,1,0,0,1,0,0,1,0,0
70.22,80,69.25,75.11,118.11,58.25,51.39,27.53,21.83,0,1,0,0,1,0,0,1,0,0,1,0,0
74.3,86,74.3,79.81,126.55,62.33,54.23,28.11,22.41,0,1,0,0,1,0,0,1,0,0,1,0,0
79.81,89.99,78.75,89.3,118.91,69.08,56.46,29.09,23.42,0,1,0,0,1,0,0,1,0,0,1,0,0
89.4,97,80,88.52,123.73,71.95,57.17,29.31,23.62,0,1,0,0,1,0,0,1,0,0,1,0,0
88.96,94,84,90,137.3,73.95,60.26,29.57,23.78,0,1,0,0,1,0,0,1,0,0,1,0,0
90.49,95,89.31,92.11,150,76.61,65.03,29.99,23.94,0,1,0,0,1,0,0,1,0,0,1,0,0
92.12,96.15,92.12,96.15,141.9,78.01,66.9,31.47,25.09,0,1,0,0,1,0,0,1,0,0,1,0,0
95.5,106.5,93.76,104.7,128.8,81.99,67.72,33.89,27.38,0,1,0,0,1,0,0,1,0,0,1,0,0
103.73,116,100.1,116,135.3,87.61,71.93,34.08,27.43,0,1,0,0,1,0,0,1,0,0,1,0,0
116,158.41,110,133.78,134.44,94.91,77.42,34.7,27.6,0,1,0,0,1,0,0,1,0,0,1,0,0
133.87,150,119,135,144,103.76,81.92,35.79,28.68,0,1,0,0,1,0,0,1,0,0,1,0,0
134.67,144,127.09,141.8,139,107.81,85.97,37.29,30.19,0,1,0,0,1,0,0,1,0,0,1,0,0
141.8,150.03,138.5,141,116.38,114.25,91.67,38.11,30.49,0,1,0,0,1,0,0,1,0,0,1,0,0
141,165.1,140.65,164.97,106.25,116.38,93.7,38.66,30.55,0,1,0,0,1,0,0,1,0,0,1,0,0
164.97,198,162,185.6,98.1,129.08,104.37,39.72,31.06,0,1,0,0,1,0,0,1,0,0,1,0,0
185.6,235.29,164.34,229,112.9,134.52,105.54,40.55,32.05,0,1,0,0,1,0,0,1,0,0,1,0,0
228.94,259.34,70,162,115.98,140.17,105.54,40.6,32.1,0,1,0,0,1,0,0,1,0,0,1,0,0
162,179,50,83.4,112.25,123.87,105.79,41.74,32.1,0,1,0,0,1,0,0,1,0,0,1,0,0
81.02,112,45,109.9,109.6,123.87,107.35,42.05,32.2,0,1,0,0,1,0,1,0,0,0,1,0,0
109.9,119,85,91.64,113.2,123.87,111.88,42.09,32.24,0,1,0,0,1,0,1,0,0,0,1,0,0
90.44,99.99,81.94,91.11,112.8,123.87,114.12,42.6,32.8,0,1,0,0,1,0,1,0,1,0,1,0,0
91.79,99.8,60,74,117.7,119.17,114.12,48.03,38.77,0,1,0,0,1,0,1,0,1,0,1,0,0
73.99,82,49.8,68.09,115.64,116.22,114.12,51.44,41.98,0,1,0,0,1,0,1,0,1,0,1,0,0
67.85,101.12,60,89.98,114.82,116.22,114.12,51.79,42.23,0,1,1,0,1,0,1,0,1,0,1,0,0
89.98,111.23,78.92,109.3,117.98,76.55,116.22,51.96,42.41,0,1,0,0,0,1,1,0,0,0,0,1,1
109.3,140.2,100,114.71,111.4,84.05,116.22,52.01,42.41,0,1,0,0,0,1,1,0,0,0,1,0,0
118.11,129.79,114.27,126.55,114.22,91.18,116.22,54.82,44.54,0,1,0,0,0,1,0,1,0,0,1,0,0
126.55,129,101,118.81,118.21,91.18,116.22,58.28,47.3,0,1,0,0,0,1,0,1,0,0,1,0,0
118.91,125.01,116,123.74,123.5,92.05,116.22,62.77,49.53,0,1,0,0,0,1,0,1,0,0,1,0,0
123.73,138.87,121.12,137.29,123.21,94.61,116.22,64.56,50.25,0,1,0,0,0,1,0,1,0,0,1,0,0
137.3,161,134.98,149,122.5,101.54,116.22,67.11,52.46,0,1,0,0,0,1,0,1,0,0,1,0,0
150,170.28,123.2,141.9,122.02,112.48,116.22,70.82,55.51,0,1,0,0,0,1,0,1,0,0,1,0,0
141.9,142.53,126.68,137.3,122.89,122.14,116.22,72.46,57.26,0,1,0,0,1,0,0,1,0,0,1,0,0
128.8,148.18,121.57,135.28,123.8,124.85,116.22,74.86,58.45,0,1,0,0,1,0,0,1,0,0,1,0,0
135.3,135.98,132.1,134.21,126.3,126.9,116.22,79.77,61.9,0,1,0,0,1,0,0,1,0,0,1,0,0
134.44,147.49,134,144.54,133.1,126.9,116.22,86.16,66.97,0,1,0,0,1,0,0,1,0,0,1,0,0
144,146.93,134.05,139,131.99,129.36,116.22,92.84,72,0,1,0,0,1,0,0,1,0,0,1,0,0
139,139.89,107.72,116.99,133.5,125.99,116.22,96.89,76.05,0,1,1,0,1,0,0,1,0,0,1,0,0
116.38,125.6,92.28,105.21,129.77,120.1,116.22,102.96,82.71,0,0,1,0,1,0,1,0,0,0,1,0,0
106.25,108.13,79.1,97.75,129,115.9,116.22,105.04,83.79,0,0,1,0,0,1,1,0,1,0,1,0,0
98.1,115,92.5,112.5,132.25,115.9,116.22,116.72,94.46,0,0,1,0,0,1,1,0,1,0,1,0,0
112.9,118.8,107.14,115.91,128.8,115.9,101.54,120.03,95.63,0,0,1,0,1,0,1,0,0,0,1,0,0
115.98,124.66,106.64,112.3,128.81,115.9,101.54,122.86,95.63,0,1,1,0,1,0,0,1,0,0,1,0,0
112.25,113.44,97.7,111.5,129.3,115.9,101.54,114.83,96.87,0,1,0,0,1,0,1,0,0,0,1,0,0
109.6,115.78,109.6,113.57,122.5,115.9,101.54,115.61,96.94,0,1,1,0,1,0,1,0,0,0,1,0,0
113.2,113.46,109.26,112.67,120.74,103.68,101.54,117.87,96.94,0,1,0,0,1,0,0,1,0,0,0,1,1
112.8,122,111.55,117.2,121.4,104.65,101.54,119,96.94,0,1,0,0,1,0,0,1,0,0,0,1,1
117.7,118.68,113.01,115.24,121.9,105.38,101.54,116.65,96.94,0,1,0,0,1,0,0,1,0,0,0,1,1
115.64,117.45,113.44,115,118.97,112.47,112.48,115.17,97.06,0,1,0,0,0,1,0,1,0,0,0,1,1
114.82,118.7,114.5,117.98,111,113,116.37,115.17,97.39,0,1,0,0,0,1,1,0,0,0,1,0,0
117.98,119.8,110.25,111.5,107.89,113,116.37,96.38,97.72,0,1,0,0,0,1,0,1,0,0,0,1,1
111.4,115.81,103.5,114.22,100.44,113,116.37,100.13,97.83,0,1,1,0,0,1,1,0,0,0,0,1,1
114.22,118.76,112.2,118.76,106.35,113,116.37,103.7,98.94,0,0,1,0,0,1,1,0,0,0,0,1,1
118.21,125.3,116.57,123.02,109,114.04,116.37,103.7,99.25,0,1,1,0,0,1,0,1,0,0,0,1,1
123.5,125.25,122.3,123.5,108.78,116.9,116.37,104.13,99.25,0,1,1,0,1,0,0,1,0,0,1,0,0
123.21,124.5,119.57,121.99,103.95,116.9,116.37,105.41,99.34,0,1,1,0,1,0,0,1,0,0,1,0,0
122.5,123.62,120.12,122,100,116.9,115.9,108.88,100.43,0,0,1,0,1,0,0,1,0,0,1,0,0
122.02,123,121.21,122.88,99.8,116.9,115.9,114.35,102.55,0,0,1,0,1,0,0,1,0,0,1,0,0
122.89,124,122,123.89,99.9,116.9,115.9,119.18,103.01,0,0,1,0,1,0,0,1,0,0,1,0,0
123.8,126.93,123.1,126.7,101.95,118.66,115.9,120.53,103.01,0,1,1,0,1,0,0,1,0,0,1,0,0
